Jugadores,Min,Puntos,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,REB,AST,FP,TOV,ROB,TAP
Didi Louzada,33:49,24,12,8,2,2,10,6,2,2,1,4,5,0,2,1,1,0
Joao Costa,4:20,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Facundo Corvalan,22:46,12,7,5,6,4,1,1,2,1,0,3,3,0,1,1,2,0
Georginho De Paula,37:14,12,9,3,1,1,8,2,4,4,0,7,7,8,2,3,1,2
Wesley Ferreira,24:55,0,5,0,4,0,1,0,0,0,1,0,1,0,4,0,0,0
Rafael Hettsheimeir,6:58,3,4,1,2,1,2,0,4,1,1,2,3,0,0,0,0,0
David Jackson,31:41,13,6,4,4,3,2,1,4,4,0,2,2,1,3,0,0,0
Nathan Fernandes,21:12,8,3,2,2,2,1,0,4,4,0,2,2,0,2,1,0,0
Charles Hinkle,17:05,9,7,3,3,0,4,3,0,0,0,2,2,1,3,3,0,0
